# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 1.685e+00  7.459e-01  2.464e+00  1.687e+03  1.337e+01  5.261033e-01  0.000000e+00  1.075246e-01 -1.660771e+03  4.456610e+01 -2.903624e+01     0     0
 1.682e+00  6.732e-01  2.457e+00  1.663e+03  5.716e+00  6.249087e-01  0.000000e+00  1.060601e-01 -1.655120e+03  1.905187e+01 -5.784620e+01     1     0
 1.678e+00  6.000e-01  2.445e+00  1.643e+03  1.087e+00  6.570540e-01  0.000000e+00  9.760638e-02 -1.645739e+03  3.622532e+00 -8.620659e+01     2     0
 1.673e+00  5.265e-01  2.428e+00  1.624e+03 -1.582e+00  6.629950e-01  0.000000e+00  9.182166e-02 -1.632682e+03 -5.272583e+00 -1.138988e+02     3     0
 1.665e+00  4.528e-01  2.407e+00  1.604e+03 -3.109e+00  6.543926e-01  0.000000e+00  8.894995e-02 -1.616027e+03 -1.036351e+01 -1.407124e+02     4     0
 1.656e+00  3.788e-01  2.380e+00  1.582e+03 -3.818e+00  6.364118e-01  0.000000e+00  8.811706e-02 -1.595868e+03 -1.272611e+01 -1.664466e+02     5     0
 1.645e+00  3.047e-01  2.350e+00  1.558e+03 -3.832e+00  6.120363e-01  0.000000e+00  8.849145e-02 -1.572323e+03 -1.277224e+01 -1.909128e+02     6     0
 1.633e+00  2.306e-01  2.314e+00  1.532e+03 -3.484e+00  5.832664e-01  0.000000e+00  8.942364e-02 -1.545524e+03 -1.161423e+01 -2.139368e+02     7     0
 1.619e+00  1.565e-01  2.275e+00  1.504e+03 -2.822e+00  5.516097e-01  0.000000e+00  9.045224e-02 -1.515623e+03 -9.405478e+00 -2.353601e+02     8     0
 1.603e+00  8.250e-02  2.231e+00  1.473e+03 -1.952e+00  5.182234e-01  0.000000e+00  9.124218e-02 -1.482783e+03 -6.506826e+00 -2.550418e+02     9     0
 1.586e+00  8.656e-03  2.184e+00  1.440e+03 -8.810e-01  4.840357e-01  0.000000e+00  9.159344e-02 -1.447184e+03 -2.936770e+00 -2.728594e+02    10     0
 1.567e+00 -6.494e-02  2.133e+00  1.404e+03  1.803e-01  4.498096e-01  0.000000e+00  9.137839e-02 -1.409016e+03  6.009926e-01 -2.887102e+02    11     0
 1.547e+00 -1.382e-01  2.078e+00  1.366e+03  1.271e+00  4.160747e-01  0.000000e+00  9.053660e-02 -1.368480e+03  4.235263e+00 -3.025116e+02    12     0
 1.525e+00 -2.111e-01  2.020e+00  1.326e+03  2.325e+00  3.832864e-01  0.000000e+00  8.906516e-02 -1.325784e+03  7.750852e+00 -3.142018e+02    13     0
 1.502e+00 -2.836e-01  1.958e+00  1.284e+03  3.398e+00  3.517272e-01  0.000000e+00  8.698140e-02 -1.281144e+03  1.132547e+01 -3.237398e+02    14     0
 1.477e+00 -3.555e-01  1.894e+00  1.240e+03  4.343e+00  3.216049e-01  0.000000e+00  8.434373e-02 -1.234780e+03  1.447587e+01 -3.311052e+02    15     0
 1.451e+00 -4.268e-01  1.828e+00  1.194e+03  5.187e+00  2.930600e-01  0.000000e+00  8.121578e-02 -1.186915e+03  1.728961e+01 -3.362980e+02    16     0
 1.423e+00 -4.975e-01  1.759e+00  1.147e+03  5.973e+00  2.661426e-01  0.000000e+00  7.766128e-02 -1.137776e+03  1.990842e+01 -3.393382e+02    17     0
 1.394e+00 -5.674e-01  1.688e+00  1.098e+03  6.681e+00  2.408692e-01  0.000000e+00  7.375636e-02 -1.087588e+03  2.226964e+01 -3.402644e+02    18     0
 1.364e+00 -6.365e-01  1.615e+00  1.049e+03  7.267e+00  2.172231e-01  0.000000e+00  6.956266e-02 -1.036576e+03  2.422328e+01 -3.391338e+02    19     0
 1.332e+00 -7.047e-01  1.540e+00  9.982e+02  7.808e+00  1.951248e-01  0.000000e+00  6.512037e-02 -9.849621e+02  2.602582e+01 -3.360204e+02    20     0
 1.299e+00 -7.719e-01  1.465e+00  9.473e+02  8.279e+00  1.744427e-01  0.000000e+00  6.043625e-02 -9.329673e+02  2.759724e+01 -3.310140e+02    21     0
 1.265e+00 -8.382e-01  1.388e+00  8.961e+02  8.704e+00  1.548972e-01  0.000000e+00  5.541717e-02 -8.808072e+02  2.901445e+01 -3.242191e+02    22     0
 1.229e+00 -9.034e-01  1.311e+00  8.451e+02  9.158e+00  1.356751e-01  0.000000e+00  4.963980e-02 -8.286918e+02  3.052674e+01 -3.157532e+02    23     0
 1.192e+00 -9.674e-01  1.233e+00  7.947e+02  9.783e+00  1.127253e-01  0.000000e+00  4.098889e-02 -7.768263e+02  3.260873e+01 -3.057457e+02    24     0
 1.630e+00  7.628e-01  2.464e+00  1.513e+03  1.718e+01  6.442415e-01  0.000000e+00  9.866643e-02 -1.477877e+03  5.726515e+01 -2.396072e+01    25     0
 1.627e+00  6.901e-01  2.457e+00  1.495e+03  1.161e+01  7.949721e-01  0.000000e+00  1.123667e-01 -1.472946e+03  3.869348e+01 -4.773785e+01    26     0
 1.623e+00  6.169e-01  2.445e+00  1.478e+03  7.833e+00  8.460723e-01  0.000000e+00  1.108512e-01 -1.464756e+03  2.611143e+01 -7.115013e+01    27     0
 1.617e+00  5.433e-01  2.428e+00  1.461e+03  5.441e+00  8.566700e-01  0.000000e+00  1.076781e-01 -1.453356e+03  1.813660e+01 -9.401999e+01    28     0
 1.610e+00  4.695e-01  2.407e+00  1.443e+03  4.038e+00  8.452620e-01  0.000000e+00  1.056832e-01 -1.438807e+03  1.345907e+01 -1.161762e+02    29     0
 1.601e+00  3.954e-01  2.380e+00  1.424e+03  3.336e+00  8.200589e-01  0.000000e+00  1.050211e-01 -1.421190e+03  1.111957e+01 -1.374551e+02    30     0
 1.591e+00  3.213e-01  2.350e+00  1.403e+03  3.081e+00  7.857061e-01  0.000000e+00  1.052283e-01 -1.400602e+03  1.027128e+01 -1.577025e+02    31     0
 1.579e+00  2.470e-01  2.314e+00  1.380e+03  3.260e+00  7.452517e-01  0.000000e+00  1.057743e-01 -1.377154e+03  1.086639e+01 -1.767759e+02    32     0
 1.566e+00  1.728e-01  2.275e+00  1.355e+03  3.660e+00  7.009704e-01  0.000000e+00  1.062368e-01 -1.350973e+03  1.220162e+01 -1.945447e+02    33     0
 1.551e+00  9.860e-02  2.231e+00  1.327e+03  4.242e+00  6.545874e-01  0.000000e+00  1.063000e-01 -1.322198e+03  1.414125e+01 -2.108924e+02    34     0
 1.534e+00  2.458e-02  2.184e+00  1.298e+03  4.967e+00  6.074594e-01  0.000000e+00  1.057715e-01 -1.290978e+03  1.655830e+01 -2.257174e+02    35     0
 1.516e+00 -4.921e-02  2.133e+00  1.266e+03  5.704e+00  5.606646e-01  0.000000e+00  1.045522e-01 -1.257476e+03  1.901257e+01 -2.389333e+02    36     0
 1.496e+00 -1.227e-01  2.078e+00  1.232e+03  6.453e+00  5.149627e-01  0.000000e+00  1.026077e-01 -1.221861e+03  2.150922e+01 -2.504703e+02    37     0
 1.475e+00 -1.958e-01  2.020e+00  1.196e+03  7.171e+00  4.709622e-01  0.000000e+00  9.996827e-02 -1.184311e+03  2.390485e+01 -2.602749e+02    38     0
 1.453e+00 -2.685e-01  1.958e+00  1.158e+03  7.852e+00  4.290322e-01  0.000000e+00  9.668583e-02 -1.145010e+03  2.617376e+01 -2.683108e+02    39     0
 1.429e+00 -3.407e-01  1.894e+00  1.119e+03  8.463e+00  3.894053e-01  0.000000e+00  9.284357e-02 -1.104147e+03  2.821101e+01 -2.745581e+02    40     0
 1.403e+00 -4.122e-01  1.828e+00  1.078e+03  8.968e+00  3.522495e-01  0.000000e+00  8.854186e-02 -1.061916e+03  2.989472e+01 -2.790137e+02    41     0
 1.377e+00 -4.832e-01  1.759e+00  1.036e+03  9.443e+00  3.175759e-01  0.000000e+00  8.386282e-02 -1.018511e+03  3.147636e+01 -2.816908e+02    42     0
 1.348e+00 -5.534e-01  1.688e+00  9.920e+02  9.808e+00  2.853612e-01  0.000000e+00  7.889971e-02 -9.741297e+02  3.269344e+01 -2.826179e+02    43     0
 1.319e+00 -6.228e-01  1.615e+00  9.476e+02  1.012e+01  2.555354e-01  0.000000e+00  7.372610e-02 -9.289673e+02  3.373632e+01 -2.818392e+02    44     0
 1.288e+00 -6.913e-01  1.540e+00  9.024e+02  1.036e+01  2.279468e-01  0.000000e+00  6.838841e-02 -8.832199e+02  3.452288e+01 -2.794124e+02    45     0
 1.256e+00 -7.589e-01  1.465e+00  8.567e+02  1.054e+01  2.023737e-01  0.000000e+00  6.288694e-02 -8.370815e+02  3.513837e+01 -2.754092e+02    46     0
 1.223e+00 -8.255e-01  1.388e+00  8.107e+02  1.070e+01  1.783968e-01  0.000000e+00  5.711324e-02 -7.907433e+02  3.567795e+01 -2.699131e+02    47     0
 1.188e+00 -8.910e-01  1.311e+00  7.648e+02  1.090e+01  1.548594e-01  0.000000e+00  5.061240e-02 -7.443921e+02  3.631784e+01 -2.630191e+02    48     0
 1.153e+00 -9.555e-01  1.233e+00  7.193e+02  1.119e+01  1.261314e-01  0.000000e+00  4.130516e-02 -6.982115e+02  3.730608e+01 -2.548322e+02    49     0
 1.572e+00  7.792e-01  2.464e+00  1.344e+03  1.972e+01  6.617592e-01  0.000000e+00  7.006382e-02 -1.302966e+03  6.573531e+01 -1.952213e+01    50     0
 1.570e+00  7.064e-01  2.457e+00  1.332e+03  1.657e+01  8.355615e-01  0.000000e+00  9.007366e-02 -1.298695e+03  5.522620e+01 -3.889698e+01    51     0
