# variant  solver   rtol    steps     rej      rhs    ifunc  err_rms[yr]  err_max[yr]    n
aging    3bs      1e-3      364     145     1526      nan   1.0029e-01   1.6369e-01   3
aging    3bs      1e-4      594     197     2374      nan   6.2560e-03   7.7393e-03   3
aging    3bs      1e-5     1058     294     4057      nan   1.2692e-03   1.8101e-03   3
aging    3bs      1e-6     2103     479     7747      nan   2.0358e-04   2.3050e-04   3
aging    imex     1e-3      128     nan      nan      nan   5.4338e+00   5.4338e+00   1n<
aging    imex     1e-4      159     nan      nan      nan   1.5393e-01   1.5393e-01   1n<
aging    imex     1e-5      941     341     5128    12841   1.7887e-02   2.6345e-02   3
aging    imex     1e-6     1791     492     9132    20486   1.4153e-02   2.0820e-02   3
kt       3bs      1e-3       44     nan      nan      nan          nan          nan   0
kt       3bs      1e-4      697     199     2689      nan   1.4697e-02   1.8160e-02   3
kt       3bs      1e-5     1303     344     4942      nan   1.2408e-03   1.3955e-03   3
kt       3bs      1e-6     2565     600     9496      nan   2.3274e-04   2.6809e-04   3
kt       imex     1e-3  1272484     nan      nan      nan   4.6967e-01   4.6967e-01   1n<
kt       imex     1e-4      640     232     3233    25906   8.5626e-01   9.7254e-01   3
kt       imex     1e-5     1040     337     5504    14245   4.4264e-03   7.4335e-03   3
kt       imex     1e-6     1922     499     9684    22286   3.8172e-03   5.6890e-03   3
prz      3bs      1e-3       74     nan      nan      nan          nan          nan   0
prz      3bs      1e-4      814     261     3226      nan   6.3543e-03   8.9832e-03   3
prz      3bs      1e-5     1479     350     5488      nan   8.3445e-04   1.3408e-03   3
prz      3bs      1e-6     2900     631    10594      nan   1.1706e-04   1.7075e-04   3
prz      imex     1e-3     1282     nan      nan      nan          nan          nan   0
prz      imex     1e-4      190     nan      nan      nan   2.2006e-01   2.2006e-01   1n<
prz      imex     1e-5      656     nan      nan      nan   6.7618e-03   9.0771e-03   2n<
prz      imex     1e-6      518     nan      nan      nan   2.3679e-03   2.3679e-03   1n<
przn1    3bs      1e-3      377     nan      nan      nan   3.1510e-02   4.4539e-02   2n<
przn1    3bs      1e-4       51     nan      nan      nan          nan          nan   0
przn1    3bs      1e-5     1538     378     5749      nan   9.5135e-04   1.5366e-03   3
przn1    3bs      1e-6     2998     648    10939      nan   1.3655e-04   2.1428e-04   3
przn1    imex     1e-3      654     nan      nan      nan          nan          nan   0
przn1    imex     1e-4      200     nan      nan      nan   2.1585e-01   2.1585e-01   1n<
przn1    imex     1e-5     1203     270     5668    24813   6.4214e-03   8.3048e-03   3
przn1    imex     1e-6     2218     519    10948    26146   3.9988e-03   6.1039e-03   3
sato     3bs      1e-3       46     nan      nan      nan          nan          nan   0
sato     3bs      1e-4      605     148     2260      nan   3.6504e-02   3.8850e-02   3
sato     3bs      1e-5     1140     282     4267      nan   2.7366e-03   3.2505e-03   3
sato     3bs      1e-6     2253     474     8182      nan   5.0032e-04   6.6754e-04   3
sato     imex     1e-3      307     126     1645    12087   1.0643e+00   1.0643e+00   1n<
sato     imex     1e-4      135     nan      nan      nan   2.0941e-01   2.0941e-01   1n<
sato     imex     1e-5      914     280     4776    11899   4.6762e-03   7.5126e-03   3
sato     imex     1e-6     1700     394     8376    19337   5.8958e-03   8.3896e-03   3
slip     3bs      1e-3      174     nan      nan      nan   2.2359e-01   2.2359e-01   1n<
slip     3bs      1e-4      569     159     2185      nan   1.6274e-01   2.2604e-01   3
slip     3bs      1e-5      971     336     3922      nan   7.4747e-03   1.0143e-02   3
slip     3bs      1e-6     1836     494     6991      nan   6.9593e-04   9.3136e-04   3
slip     imex     1e-3      431     204     2373    19313   1.9453e+02   2.2199e+02   2n<
slip     imex     1e-4      491     182     2435    24482   1.4403e+00   2.0671e+00   3
slip     imex     1e-5      743     291     4135    11151   2.8792e-02   4.3498e-02   3
slip     imex     1e-6     1376     392     7072    17032   3.4838e-02   4.7975e-02   3
